lake,date_time,temp_c,light_intensity_lux,depth
soapstone,2020-03-28T22:00:00Z,3.578,0,1m
soapstone,2020-03-28T23:00:00Z,3.578,0,1m
soapstone,2020-03-29T00:00:00Z,3.578,0,1m
soapstone,2020-03-29T01:00:00Z,3.578,0,1m
soapstone,2020-03-29T02:00:00Z,3.578,0,1m
soapstone,2020-03-29T03:00:00Z,3.578,0,1m
soapstone,2020-03-29T04:00:00Z,3.578,0,1m
soapstone,2020-03-29T05:00:00Z,3.578,0,1m
soapstone,2020-03-29T06:00:00Z,3.578,0,1m
soapstone,2020-03-29T07:00:00Z,3.578,0,1m
soapstone,2020-03-29T08:00:00Z,3.578,0,1m
soapstone,2020-03-29T09:00:00Z,3.578,0,1m
soapstone,2020-03-29T10:00:00Z,3.578,10.8,1m
soapstone,2020-03-29T11:00:00Z,3.578,21.5,1m
soapstone,2020-03-29T12:00:00Z,3.578,32.3,1m
soapstone,2020-03-29T13:00:00Z,3.578,43.1,1m
soapstone,2020-03-29T14:00:00Z,3.578,21.5,1m
soapstone,2020-03-29T15:00:00Z,3.578,21.5,1m
soapstone,2020-03-29T16:00:00Z,3.578,10.8,1m
soapstone,2020-03-29T17:00:00Z,3.683,0,1m
soapstone,2020-03-29T18:00:00Z,3.578,0,1m
soapstone,2020-03-29T19:00:00Z,3.578,0,1m
soapstone,2020-03-29T20:00:00Z,3.578,0,1m
soapstone,2020-03-29T21:00:00Z,3.578,0,1m
soapstone,2020-03-29T22:00:00Z,3.578,0,1m
soapstone,2020-03-29T23:00:00Z,3.578,0,1m
soapstone,2020-03-30T00:00:00Z,3.578,0,1m
soapstone,2020-03-30T01:00:00Z,3.578,0,1m
soapstone,2020-03-30T02:00:00Z,3.578,0,1m
soapstone,2020-03-30T03:00:00Z,3.578,0,1m
soapstone,2020-03-30T04:00:00Z,3.578,0,1m
soapstone,2020-03-30T05:00:00Z,3.578,0,1m
soapstone,2020-03-30T06:00:00Z,3.578,0,1m
soapstone,2020-03-30T07:00:00Z,3.578,0,1m
soapstone,2020-03-30T08:00:00Z,3.578,10.8,1m
soapstone,2020-03-30T09:00:00Z,3.578,32.3,1m
soapstone,2020-03-30T10:00:00Z,3.578,43.1,1m
soapstone,2020-03-30T11:00:00Z,3.578,32.3,1m
soapstone,2020-03-30T12:00:00Z,3.578,53.8,1m
soapstone,2020-03-30T13:00:00Z,3.578,53.8,1m
soapstone,2020-03-30T14:00:00Z,3.578,75.3,1m
soapstone,2020-03-30T15:00:00Z,3.578,53.8,1m
soapstone,2020-03-30T16:00:00Z,3.578,32.3,1m
soapstone,2020-03-30T17:00:00Z,3.578,0,1m
soapstone,2020-03-30T18:00:00Z,3.578,0,1m
soapstone,2020-03-30T19:00:00Z,3.578,0,1m
soapstone,2020-03-30T20:00:00Z,3.578,0,1m
soapstone,2020-03-30T21:00:00Z,3.578,0,1m
soapstone,2020-03-30T22:00:00Z,3.472,0,1m
soapstone,2020-03-30T23:00:00Z,3.578,0,1m
soapstone,2020-03-31T00:00:00Z,3.472,0,1m
soapstone,2020-03-31T01:00:00Z,3.472,0,1m
soapstone,2020-03-31T02:00:00Z,3.472,0,1m
soapstone,2020-03-31T03:00:00Z,3.472,0,1m
soapstone,2020-03-31T04:00:00Z,3.472,0,1m
soapstone,2020-03-31T05:00:00Z,3.472,0,1m
soapstone,2020-03-31T06:00:00Z,3.472,0,1m
soapstone,2020-03-31T07:00:00Z,3.472,21.5,1m
soapstone,2020-03-31T08:00:00Z,3.472,75.3,1m
soapstone,2020-03-31T09:00:00Z,3.578,107.6,1m
soapstone,2020-03-31T10:00:00Z,3.578,269.1,1m
soapstone,2020-03-31T11:00:00Z,3.578,462.9,1m
soapstone,2020-03-31T12:00:00Z,3.578,462.9,1m
soapstone,2020-03-31T13:00:00Z,3.683,796.5,1m
soapstone,2020-03-31T14:00:00Z,3.578,904.2,1m
soapstone,2020-03-31T15:00:00Z,3.578,602.8,1m
soapstone,2020-03-31T16:00:00Z,3.578,183,1m
soapstone,2020-03-31T17:00:00Z,3.472,21.5,1m
soapstone,2020-03-31T18:00:00Z,3.472,0,1m
soapstone,2020-03-31T19:00:00Z,3.472,0,1m
soapstone,2020-03-31T20:00:00Z,3.472,0,1m
soapstone,2020-03-31T21:00:00Z,3.472,0,1m
soapstone,2020-03-31T22:00:00Z,3.472,0,1m
soapstone,2020-03-31T23:00:00Z,3.472,0,1m
soapstone,2020-04-01T00:00:00Z,3.472,0,1m
soapstone,2020-04-01T01:00:00Z,3.472,0,1m
soapstone,2020-04-01T02:00:00Z,3.472,0,1m
soapstone,2020-04-01T03:00:00Z,3.472,0,1m
soapstone,2020-04-01T04:00:00Z,3.472,0,1m
soapstone,2020-04-01T05:00:00Z,3.472,0,1m
soapstone,2020-04-01T06:00:00Z,3.472,0,1m
soapstone,2020-04-01T07:00:00Z,3.472,21.5,1m
soapstone,2020-04-01T08:00:00Z,3.472,64.6,1m
soapstone,2020-04-01T09:00:00Z,3.472,75.3,1m
soapstone,2020-04-01T10:00:00Z,3.578,635.1,1m
soapstone,2020-04-01T11:00:00Z,3.683,839.6,1m
soapstone,2020-04-01T12:00:00Z,3.683,1011.8,1m
soapstone,2020-04-01T13:00:00Z,3.683,1248.6,1m
soapstone,2020-04-01T14:00:00Z,3.683,1237.9,1m
soapstone,2020-04-01T15:00:00Z,3.683,258.3,1m
soapstone,2020-04-01T16:00:00Z,3.683,226,1m
soapstone,2020-04-01T17:00:00Z,3.578,161.5,1m
soapstone,2020-04-01T18:00:00Z,3.578,21.5,1m
soapstone,2020-04-01T19:00:00Z,3.578,0,1m
soapstone,2020-04-01T20:00:00Z,3.578,0,1m
soapstone,2020-04-01T21:00:00Z,3.578,0,1m
soapstone,2020-04-01T22:00:00Z,3.578,0,1m
soapstone,2020-04-01T23:00:00Z,3.578,0,1m
soapstone,2020-04-02T00:00:00Z,3.578,0,1m
soapstone,2020-04-02T01:00:00Z,3.578,0,1m
soapstone,2020-04-02T02:00:00Z,3.578,0,1m
soapstone,2020-04-02T03:00:00Z,3.578,0,1m
soapstone,2020-04-02T04:00:00Z,3.578,0,1m
soapstone,2020-04-02T05:00:00Z,3.578,0,1m
soapstone,2020-04-02T06:00:00Z,3.578,0,1m
soapstone,2020-04-02T07:00:00Z,3.578,21.5,1m
soapstone,2020-04-02T08:00:00Z,3.578,107.6,1m
soapstone,2020-04-02T09:00:00Z,3.578,96.9,1m
soapstone,2020-04-02T10:00:00Z,3.683,850.4,1m
soapstone,2020-04-02T11:00:00Z,3.788,1173.3,1m
soapstone,2020-04-02T12:00:00Z,3.788,1463.9,1m
soapstone,2020-04-02T13:00:00Z,3.788,226,1m
soapstone,2020-04-02T14:00:00Z,3.893,1377.8,1m
soapstone,2020-04-02T15:00:00Z,3.788,1130.2,1m
soapstone,2020-04-02T16:00:00Z,3.683,301.4,1m
soapstone,2020-04-02T17:00:00Z,3.683,32.3,1m
soapstone,2020-04-02T18:00:00Z,3.683,10.8,1m
soapstone,2020-04-02T19:00:00Z,3.683,0,1m
soapstone,2020-04-02T20:00:00Z,3.683,0,1m
soapstone,2020-04-02T21:00:00Z,3.683,0,1m
soapstone,2020-04-02T22:00:00Z,3.683,0,1m
soapstone,2020-04-02T23:00:00Z,3.683,0,1m
soapstone,2020-04-03T00:00:00Z,3.683,0,1m
soapstone,2020-04-03T01:00:00Z,3.683,0,1m
soapstone,2020-04-03T02:00:00Z,3.683,0,1m
soapstone,2020-04-03T03:00:00Z,3.683,0,1m
soapstone,2020-04-03T04:00:00Z,3.683,0,1m
soapstone,2020-04-03T05:00:00Z,3.683,0,1m
soapstone,2020-04-03T06:00:00Z,3.683,0,1m
soapstone,2020-04-03T07:00:00Z,3.683,32.3,1m
soapstone,2020-04-03T08:00:00Z,3.683,150.7,1m
soapstone,2020-04-03T09:00:00Z,3.683,139.9,1m
soapstone,2020-04-03T10:00:00Z,3.893,1151.7,1m
soapstone,2020-04-03T11:00:00Z,3.998,1636.1,1m
soapstone,2020-04-03T12:00:00Z,4.102,1980.6,1m
soapstone,2020-04-03T13:00:00Z,4.102,2152.8,1m
soapstone,2020-04-03T14:00:00Z,4.207,1980.6,1m
soapstone,2020-04-03T15:00:00Z,4.207,1894.5,1m
soapstone,2020-04-03T16:00:00Z,4.102,516.7,1m
soapstone,2020-04-03T17:00:00Z,4.102,107.6,1m
soapstone,2020-04-03T18:00:00Z,3.998,43.1,1m
soapstone,2020-04-03T19:00:00Z,3.998,0,1m
soapstone,2020-04-03T20:00:00Z,3.998,0,1m
soapstone,2020-04-03T21:00:00Z,3.893,0,1m
soapstone,2020-04-03T22:00:00Z,3.893,0,1m
soapstone,2020-04-03T23:00:00Z,3.893,0,1m
soapstone,2020-04-04T00:00:00Z,3.893,0,1m
soapstone,2020-04-04T01:00:00Z,3.893,0,1m
soapstone,2020-04-04T02:00:00Z,3.893,0,1m
soapstone,2020-04-04T03:00:00Z,3.893,0,1m
soapstone,2020-04-04T04:00:00Z,3.893,0,1m
soapstone,2020-04-04T05:00:00Z,3.893,0,1m
soapstone,2020-04-04T06:00:00Z,3.893,0,1m
soapstone,2020-04-04T07:00:00Z,3.998,10.8,1m
soapstone,2020-04-04T08:00:00Z,3.998,53.8,1m
soapstone,2020-04-04T09:00:00Z,3.998,64.6,1m
soapstone,2020-04-04T10:00:00Z,3.893,21.5,1m
soapstone,2020-04-04T11:00:00Z,3.893,10.8,1m
soapstone,2020-04-04T12:00:00Z,3.893,10.8,1m
soapstone,2020-04-04T13:00:00Z,3.893,21.5,1m
soapstone,2020-04-04T14:00:00Z,3.893,0,1m
soapstone,2020-04-04T15:00:00Z,3.893,21.5,1m
soapstone,2020-04-04T16:00:00Z,3.893,0,1m
soapstone,2020-04-04T17:00:00Z,3.893,0,1m
soapstone,2020-04-04T18:00:00Z,3.893,0,1m
soapstone,2020-04-04T19:00:00Z,3.893,0,1m
soapstone,2020-04-04T20:00:00Z,3.893,0,1m
soapstone,2020-04-04T21:00:00Z,3.893,0,1m
soapstone,2020-04-04T22:00:00Z,3.893,0,1m
soapstone,2020-04-04T23:00:00Z,3.893,0,1m
soapstone,2020-04-05T00:00:00Z,3.893,0,1m
soapstone,2020-04-05T01:00:00Z,3.788,0,1m
soapstone,2020-04-05T02:00:00Z,3.788,0,1m
soapstone,2020-04-05T03:00:00Z,3.788,0,1m
soapstone,2020-04-05T04:00:00Z,3.788,0,1m
soapstone,2020-04-05T05:00:00Z,3.788,0,1m
soapstone,2020-04-05T06:00:00Z,3.788,0,1m
soapstone,2020-04-05T07:00:00Z,3.788,0,1m
soapstone,2020-04-05T08:00:00Z,3.788,0,1m
soapstone,2020-04-05T09:00:00Z,3.788,0,1m
soapstone,2020-04-05T10:00:00Z,3.788,0,1m
soapstone,2020-04-05T11:00:00Z,3.788,0,1m
soapstone,2020-04-05T12:00:00Z,3.788,0,1m
soapstone,2020-04-05T13:00:00Z,3.788,0,1m
soapstone,2020-04-05T14:00:00Z,3.788,0,1m
soapstone,2020-04-05T15:00:00Z,3.788,0,1m
soapstone,2020-04-05T16:00:00Z,3.788,0,1m
soapstone,2020-04-05T17:00:00Z,3.788,0,1m
soapstone,2020-04-05T18:00:00Z,3.788,0,1m
soapstone,2020-04-05T19:00:00Z,3.788,0,1m
soapstone,2020-04-05T20:00:00Z,3.788,0,1m
soapstone,2020-04-05T21:00:00Z,3.788,0,1m
soapstone,2020-04-05T22:00:00Z,3.788,0,1m
soapstone,2020-04-05T23:00:00Z,3.788,0,1m
soapstone,2020-04-06T00:00:00Z,3.788,0,1m
soapstone,2020-04-06T01:00:00Z,3.788,0,1m
soapstone,2020-04-06T02:00:00Z,3.788,0,1m
soapstone,2020-04-06T03:00:00Z,3.788,0,1m
soapstone,2020-04-06T04:00:00Z,3.788,0,1m
soapstone,2020-04-06T05:00:00Z,3.788,0,1m
soapstone,2020-04-06T06:00:00Z,3.788,0,1m
soapstone,2020-04-06T07:00:00Z,3.788,0,1m
soapstone,2020-04-06T08:00:00Z,3.788,0,1m
soapstone,2020-04-06T09:00:00Z,3.788,0,1m
soapstone,2020-04-06T10:00:00Z,3.788,0,1m
soapstone,2020-04-06T11:00:00Z,3.788,0,1m
soapstone,2020-04-06T12:00:00Z,3.788,0,1m
soapstone,2020-04-06T13:00:00Z,3.788,10.8,1m
soapstone,2020-04-06T14:00:00Z,3.788,10.8,1m
soapstone,2020-04-06T15:00:00Z,3.788,32.3,1m
soapstone,2020-04-06T16:00:00Z,3.788,0,1m
soapstone,2020-04-06T17:00:00Z,3.788,0,1m
soapstone,2020-04-06T18:00:00Z,3.788,0,1m
soapstone,2020-04-06T19:00:00Z,3.788,0,1m
soapstone,2020-04-06T20:00:00Z,3.788,0,1m
soapstone,2020-04-06T21:00:00Z,3.788,0,1m
soapstone,2020-04-06T22:00:00Z,3.788,0,1m
soapstone,2020-04-06T23:00:00Z,3.683,0,1m
soapstone,2020-04-07T00:00:00Z,3.683,0,1m
soapstone,2020-04-07T01:00:00Z,3.683,0,1m
soapstone,2020-04-07T02:00:00Z,3.683,0,1m
soapstone,2020-04-07T03:00:00Z,3.683,0,1m
soapstone,2020-04-07T04:00:00Z,3.683,0,1m
soapstone,2020-04-07T05:00:00Z,3.683,0,1m
soapstone,2020-04-07T06:00:00Z,3.683,0,1m
soapstone,2020-04-07T07:00:00Z,3.683,0,1m
soapstone,2020-04-07T08:00:00Z,3.683,0,1m
soapstone,2020-04-07T09:00:00Z,3.683,0,1m
soapstone,2020-04-07T10:00:00Z,3.683,64.6,1m
soapstone,2020-04-07T11:00:00Z,3.788,86.1,1m
soapstone,2020-04-07T12:00:00Z,3.683,107.6,1m
soapstone,2020-04-07T13:00:00Z,3.788,21.5,1m
soapstone,2020-04-07T14:00:00Z,3.788,193.8,1m
soapstone,2020-04-07T15:00:00Z,3.788,172.2,1m
soapstone,2020-04-07T16:00:00Z,3.683,10.8,1m
soapstone,2020-04-07T17:00:00Z,3.683,0,1m
soapstone,2020-04-07T18:00:00Z,3.683,0,1m
soapstone,2020-04-07T19:00:00Z,3.683,0,1m
soapstone,2020-04-07T20:00:00Z,3.683,0,1m
soapstone,2020-04-07T21:00:00Z,3.683,0,1m
soapstone,2020-04-07T22:00:00Z,3.683,0,1m
soapstone,2020-04-07T23:00:00Z,3.683,0,1m
soapstone,2020-04-08T00:00:00Z,3.683,0,1m
soapstone,2020-04-08T01:00:00Z,3.683,0,1m
soapstone,2020-04-08T02:00:00Z,3.683,0,1m
soapstone,2020-04-08T03:00:00Z,3.683,0,1m
soapstone,2020-04-08T04:00:00Z,3.683,0,1m
soapstone,2020-04-08T05:00:00Z,3.683,0,1m
soapstone,2020-04-08T06:00:00Z,3.683,0,1m
soapstone,2020-04-08T07:00:00Z,3.683,0,1m
soapstone,2020-04-08T08:00:00Z,3.683,10.8,1m
soapstone,2020-04-08T09:00:00Z,3.683,10.8,1m
soapstone,2020-04-08T10:00:00Z,3.683,193.8,1m
soapstone,2020-04-08T11:00:00Z,3.683,290.6,1m
soapstone,2020-04-08T12:00:00Z,3.683,387.5,1m
soapstone,2020-04-08T13:00:00Z,3.788,484.4,1m
soapstone,2020-04-08T14:00:00Z,3.788,549,1m
soapstone,2020-04-08T15:00:00Z,3.788,516.7,1m
soapstone,2020-04-08T16:00:00Z,3.683,139.9,1m
soapstone,2020-04-08T17:00:00Z,3.683,43.1,1m
soapstone,2020-04-08T18:00:00Z,3.683,0,1m
soapstone,2020-04-08T19:00:00Z,3.683,0,1m
soapstone,2020-04-08T20:00:00Z,3.683,0,1m
soapstone,2020-04-08T21:00:00Z,3.683,0,1m
soapstone,2020-04-08T22:00:00Z,3.683,0,1m
soapstone,2020-04-08T23:00:00Z,3.683,0,1m
soapstone,2020-04-09T00:00:00Z,3.683,0,1m
soapstone,2020-04-09T01:00:00Z,3.683,0,1m
soapstone,2020-04-09T02:00:00Z,3.683,0,1m
soapstone,2020-04-09T03:00:00Z,3.683,0,1m
soapstone,2020-04-09T04:00:00Z,3.683,0,1m
soapstone,2020-04-09T05:00:00Z,3.578,0,1m
soapstone,2020-04-09T06:00:00Z,3.578,0,1m
soapstone,2020-04-09T07:00:00Z,3.683,10.8,1m
soapstone,2020-04-09T08:00:00Z,3.683,107.6,1m
soapstone,2020-04-09T09:00:00Z,3.683,86.1,1m
soapstone,2020-04-09T10:00:00Z,3.788,656.6,1m
soapstone,2020-04-09T11:00:00Z,3.788,925.7,1m
soapstone,2020-04-09T12:00:00Z,3.893,1119.5,1m
soapstone,2020-04-09T13:00:00Z,3.893,1216.3,1m
soapstone,2020-04-09T14:00:00Z,3.893,1173.3,1m
soapstone,2020-04-09T15:00:00Z,3.893,968.8,1m
soapstone,2020-04-09T16:00:00Z,3.788,226,1m
soapstone,2020-04-09T17:00:00Z,3.788,64.6,1m
soapstone,2020-04-09T18:00:00Z,3.683,10.8,1m
soapstone,2020-04-09T19:00:00Z,3.683,0,1m
soapstone,2020-04-09T20:00:00Z,3.683,0,1m
soapstone,2020-04-09T21:00:00Z,3.683,0,1m
soapstone,2020-04-09T22:00:00Z,3.683,0,1m
soapstone,2020-04-09T23:00:00Z,3.683,0,1m
soapstone,2020-04-10T00:00:00Z,3.683,0,1m
soapstone,2020-04-10T01:00:00Z,3.683,0,1m
soapstone,2020-04-10T02:00:00Z,3.683,0,1m
soapstone,2020-04-10T03:00:00Z,3.683,0,1m
soapstone,2020-04-10T04:00:00Z,3.683,0,1m
soapstone,2020-04-10T05:00:00Z,3.683,0,1m
soapstone,2020-04-10T06:00:00Z,3.683,0,1m
soapstone,2020-04-10T07:00:00Z,3.683,43.1,1m
soapstone,2020-04-10T08:00:00Z,3.683,236.8,1m
soapstone,2020-04-10T09:00:00Z,3.683,193.8,1m
soapstone,2020-04-10T10:00:00Z,3.893,1141,1m
soapstone,2020-04-10T11:00:00Z,3.998,1377.8,1m
soapstone,2020-04-10T12:00:00Z,3.998,1550,1m
soapstone,2020-04-10T13:00:00Z,3.998,1377.8,1m
soapstone,2020-04-10T14:00:00Z,4.102,1463.9,1m
soapstone,2020-04-10T15:00:00Z,4.102,1237.9,1m
soapstone,2020-04-10T16:00:00Z,3.998,279.9,1m
soapstone,2020-04-10T17:00:00Z,3.998,75.3,1m
soapstone,2020-04-10T18:00:00Z,3.893,21.5,1m
soapstone,2020-04-10T19:00:00Z,3.893,0,1m
soapstone,2020-04-10T20:00:00Z,3.893,0,1m
soapstone,2020-04-10T21:00:00Z,3.893,0,1m
soapstone,2020-04-10T22:00:00Z,3.893,0,1m
soapstone,2020-04-10T23:00:00Z,3.893,0,1m
soapstone,2020-04-11T00:00:00Z,3.893,0,1m
soapstone,2020-04-11T01:00:00Z,3.893,0,1m
soapstone,2020-04-11T02:00:00Z,3.893,0,1m
soapstone,2020-04-11T03:00:00Z,3.893,0,1m
soapstone,2020-04-11T04:00:00Z,3.893,0,1m
soapstone,2020-04-11T05:00:00Z,3.893,0,1m
soapstone,2020-04-11T06:00:00Z,3.893,0,1m
soapstone,2020-04-11T07:00:00Z,3.893,32.3,1m
soapstone,2020-04-11T08:00:00Z,3.893,312.2,1m
soapstone,2020-04-11T09:00:00Z,3.893,215.3,1m
soapstone,2020-04-11T10:00:00Z,4.102,1227.1,1m
soapstone,2020-04-11T11:00:00Z,4.102,1463.9,1m
soapstone,2020-04-11T12:00:00Z,4.207,1722.2,1m
soapstone,2020-04-11T13:00:00Z,4.207,1463.9,1m
soapstone,2020-04-11T14:00:00Z,4.207,958,1m
soapstone,2020-04-11T15:00:00Z,4.311,1216.3,1m
soapstone,2020-04-11T16:00:00Z,4.207,290.6,1m
soapstone,2020-04-11T17:00:00Z,4.207,172.2,1m
soapstone,2020-04-11T18:00:00Z,4.207,21.5,1m
soapstone,2020-04-11T19:00:00Z,4.207,0,1m
soapstone,2020-04-11T20:00:00Z,4.102,0,1m
soapstone,2020-04-11T21:00:00Z,4.102,0,1m
soapstone,2020-04-11T22:00:00Z,4.102,0,1m
soapstone,2020-04-11T23:00:00Z,4.102,0,1m
soapstone,2020-04-12T00:00:00Z,4.102,0,1m
soapstone,2020-04-12T01:00:00Z,4.102,0,1m
soapstone,2020-04-12T02:00:00Z,4.102,0,1m
soapstone,2020-04-12T03:00:00Z,3.998,0,1m
soapstone,2020-04-12T04:00:00Z,3.998,0,1m
soapstone,2020-04-12T05:00:00Z,3.998,0,1m
soapstone,2020-04-12T06:00:00Z,3.998,0,1m
soapstone,2020-04-12T07:00:00Z,3.998,64.6,1m
soapstone,2020-04-12T08:00:00Z,4.102,258.3,1m
soapstone,2020-04-12T09:00:00Z,4.102,215.3,1m
soapstone,2020-04-12T10:00:00Z,4.207,1130.2,1m
soapstone,2020-04-12T11:00:00Z,4.311,1377.8,1m
soapstone,2020-04-12T12:00:00Z,4.311,1550,1m
soapstone,2020-04-12T13:00:00Z,4.415,1550,1m
soapstone,2020-04-12T14:00:00Z,4.415,1463.9,1m
soapstone,2020-04-12T15:00:00Z,4.415,1184,1m
soapstone,2020-04-12T16:00:00Z,4.311,269.1,1m
soapstone,2020-04-12T17:00:00Z,4.311,64.6,1m
soapstone,2020-04-12T18:00:00Z,4.311,53.8,1m
soapstone,2020-04-12T19:00:00Z,4.311,0,1m
soapstone,2020-04-12T20:00:00Z,4.311,0,1m
soapstone,2020-04-12T21:00:00Z,4.207,0,1m
soapstone,2020-04-12T22:00:00Z,4.207,0,1m
soapstone,2020-04-12T23:00:00Z,4.207,0,1m
soapstone,2020-04-13T00:00:00Z,4.207,0,1m
soapstone,2020-04-13T01:00:00Z,4.102,0,1m
soapstone,2020-04-13T02:00:00Z,4.102,0,1m
soapstone,2020-04-13T03:00:00Z,4.102,0,1m
soapstone,2020-04-13T04:00:00Z,4.102,0,1m
soapstone,2020-04-13T05:00:00Z,3.998,0,1m
soapstone,2020-04-13T06:00:00Z,3.998,10.8,1m
soapstone,2020-04-13T07:00:00Z,3.893,32.3,1m
soapstone,2020-04-13T08:00:00Z,3.893,172.2,1m
soapstone,2020-04-13T09:00:00Z,3.893,215.3,1m
soapstone,2020-04-13T10:00:00Z,4.102,1367,1m
soapstone,2020-04-13T11:00:00Z,4.102,1722.2,1m
soapstone,2020-04-13T12:00:00Z,4.207,1894.5,1m
soapstone,2020-04-13T13:00:00Z,4.207,1980.6,1m
soapstone,2020-04-13T14:00:00Z,4.311,1808.3,1m
soapstone,2020-04-13T15:00:00Z,4.415,1463.9,1m
soapstone,2020-04-13T16:00:00Z,4.207,355.2,1m
soapstone,2020-04-13T17:00:00Z,4.207,96.9,1m
soapstone,2020-04-13T18:00:00Z,4.102,32.3,1m
soapstone,2020-04-13T19:00:00Z,4.519,0,1m
soapstone,2020-04-13T20:00:00Z,4.519,0,1m
soapstone,2020-04-13T21:00:00Z,4.519,0,1m
soapstone,2020-04-13T22:00:00Z,4.519,0,1m
soapstone,2020-04-13T23:00:00Z,4.519,0,1m
soapstone,2020-04-14T00:00:00Z,4.519,0,1m
soapstone,2020-04-14T01:00:00Z,4.519,0,1m
soapstone,2020-04-14T02:00:00Z,4.415,0,1m
soapstone,2020-04-14T03:00:00Z,4.415,0,1m
soapstone,2020-04-14T04:00:00Z,4.415,0,1m
soapstone,2020-04-14T05:00:00Z,4.311,0,1m
soapstone,2020-04-14T06:00:00Z,4.311,10.8,1m
soapstone,2020-04-14T07:00:00Z,4.102,53.8,1m
soapstone,2020-04-14T08:00:00Z,4.207,215.3,1m
soapstone,2020-04-14T09:00:00Z,4.207,312.2,1m
soapstone,2020-04-14T10:00:00Z,4.415,1894.5,1m
soapstone,2020-04-14T11:00:00Z,4.311,2325,1m
soapstone,2020-04-14T12:00:00Z,4.623,2583.4,1m
soapstone,2020-04-14T13:00:00Z,4.415,2583.4,1m
soapstone,2020-04-14T14:00:00Z,4.207,2325,1m
soapstone,2020-04-14T15:00:00Z,4.207,1808.3,1m
soapstone,2020-04-14T16:00:00Z,3.893,419.8,1m
soapstone,2020-04-14T17:00:00Z,3.893,107.6,1m
soapstone,2020-04-14T18:00:00Z,3.998,43.1,1m
soapstone,2020-04-14T19:00:00Z,4.207,0,1m
soapstone,2020-04-14T20:00:00Z,4.311,0,1m
soapstone,2020-04-14T21:00:00Z,4.415,0,1m
soapstone,2020-04-14T22:00:00Z,4.519,0,1m
soapstone,2020-04-14T23:00:00Z,4.519,0,1m
soapstone,2020-04-15T00:00:00Z,4.519,0,1m
soapstone,2020-04-15T01:00:00Z,4.519,0,1m
soapstone,2020-04-15T02:00:00Z,4.519,0,1m
soapstone,2020-04-15T03:00:00Z,4.519,0,1m
soapstone,2020-04-15T04:00:00Z,4.519,0,1m
soapstone,2020-04-15T05:00:00Z,4.519,0,1m
soapstone,2020-04-15T06:00:00Z,4.519,21.5,1m
soapstone,2020-04-15T07:00:00Z,4.519,129.2,1m
soapstone,2020-04-15T08:00:00Z,4.519,409,1m
soapstone,2020-04-15T09:00:00Z,4.623,656.6,1m
soapstone,2020-04-15T10:00:00Z,4.727,1334.7,1m
soapstone,2020-04-15T11:00:00Z,4.727,2325,1m
soapstone,2020-04-15T12:00:00Z,4.831,2411.1,1m
soapstone,2020-04-15T13:00:00Z,4.415,1894.5,1m
soapstone,2020-04-15T14:00:00Z,4.311,1022.6,1m
soapstone,2020-04-15T15:00:00Z,4.207,1216.3,1m
soapstone,2020-04-15T16:00:00Z,4.102,559.7,1m
soapstone,2020-04-15T17:00:00Z,4.102,204.5,1m
soapstone,2020-04-15T18:00:00Z,4.102,75.3,1m
soapstone,2020-04-15T19:00:00Z,4.102,0,1m
soapstone,2020-04-15T20:00:00Z,4.102,0,1m
soapstone,2020-04-15T21:00:00Z,4.102,0,1m
soapstone,2020-04-15T22:00:00Z,4.207,0,1m
soapstone,2020-04-15T23:00:00Z,4.311,0,1m
soapstone,2020-04-16T00:00:00Z,4.311,0,1m
soapstone,2020-04-16T01:00:00Z,4.311,0,1m
soapstone,2020-04-16T02:00:00Z,4.311,0,1m
soapstone,2020-04-16T03:00:00Z,4.311,0,1m
soapstone,2020-04-16T04:00:00Z,4.415,0,1m
soapstone,2020-04-16T05:00:00Z,4.415,0,1m
soapstone,2020-04-16T06:00:00Z,4.415,32.3,1m
soapstone,2020-04-16T07:00:00Z,4.415,107.6,1m
soapstone,2020-04-16T08:00:00Z,4.415,269.1,1m
soapstone,2020-04-16T09:00:00Z,4.519,538.2,1m
soapstone,2020-04-16T10:00:00Z,4.727,2411.1,1m
soapstone,2020-04-16T11:00:00Z,4.831,2755.6,1m
soapstone,2020-04-16T12:00:00Z,4.831,3100,1m
soapstone,2020-04-16T13:00:00Z,4.727,3272.2,1m
soapstone,2020-04-16T14:00:00Z,4.519,1894.5,1m
soapstone,2020-04-16T15:00:00Z,4.415,2066.7,1m
soapstone,2020-04-16T16:00:00Z,4.311,419.8,1m
soapstone,2020-04-16T17:00:00Z,4.207,139.9,1m
soapstone,2020-04-16T18:00:00Z,4.311,53.8,1m
soapstone,2020-04-16T19:00:00Z,4.311,0,1m
soapstone,2020-04-16T20:00:00Z,4.311,0,1m
soapstone,2020-04-16T21:00:00Z,4.102,0,1m
soapstone,2020-04-16T22:00:00Z,4.207,0,1m
soapstone,2020-04-16T23:00:00Z,4.311,0,1m
soapstone,2020-04-17T00:00:00Z,4.311,0,1m
soapstone,2020-04-17T01:00:00Z,4.311,0,1m
soapstone,2020-04-17T02:00:00Z,4.311,0,1m
soapstone,2020-04-17T03:00:00Z,4.311,0,1m
soapstone,2020-04-17T04:00:00Z,4.311,0,1m
soapstone,2020-04-17T05:00:00Z,4.311,0,1m
soapstone,2020-04-17T06:00:00Z,4.311,32.3,1m
soapstone,2020-04-17T07:00:00Z,4.415,118.4,1m
soapstone,2020-04-17T08:00:00Z,4.415,269.1,1m
